ID,GENDER,STATUS,CHILDREN,ESTINCOME,HOMEOWNER,AGE,TOTALDOLLARVALUETRADED,TOTALUNITSTRADED,LARGESTSINGLETRANSACTION,SMALLESTSINGLETRANSACTION,PERCENTCHANGECALCULATION,DAYSSINCELASTLOGIN,DAYSSINCELASTTRADE,NETREALIZEDGAINS_YTD
135,F,S,1,27783,N,14,4970,18,1242,124,2,4,20,0
145,M,S,1,16432,Y,21,20412,80,10206,1020,20,1,5,0
147,M,S,1,71329,Y,42,14271,45,7135,713,11,4,8,713
150,M,M,2,67339,N,17,27832,48,13916,1391,12,2,7,0
158,F,M,2,59691,N,38,21942,256,10971,1097,64,2,9,1097
166,M,M,1,80000,N,53,0,0,0,0,0,0,0,0
169,M,M,0,120000,Y,53,15271,25,7635,763,6,2,6,763
170,F,M,2,8032,N,46,29682,59,14841,1484,14,5,8,1484
178,F,S,0,919,N,38,27282,93,13641,1364,23,4,8,0
180,F,M,2,24482,N,34,0,0,0,0,0,0,0,0
185,F,M,2,47010,N,57,2540,164,635,63,24,2,15,0
186,F,S,1,67239,N,44,12891,53,6445,644,13,5,6,0
189,M,S,2,60095,Y,23,1710,116,427,42,17,1,18,0
191,M,M,1,76511,N,62,21682,17,10841,1084,4,5,5,1084
195,F,M,2,68462,N,34,24392,60,12196,1219,15,3,5,1219
201,F,M,1,82931,N,65,19241,118,9620,962,29,3,7,0
203,F,S,2,21274,N,46,10871,32,5435,543,8,3,10,0
204,F,M,2,28267,N,30,21872,192,10936,1093,48,1,5,1093
207,F,M,2,91861,Y,42,15321,6,7660,766,1,5,9,0
214,M,M,2,78554,N,17,5590,23,1397,139,3,4,19,0
216,M,M,0,60101,Y,64,27702,124,13851,1385,31,4,9,1385
220,F,M,2,88427,N,14,22462,43,11231,1123,10,5,7,1123
221,F,M,2,98003,Y,26,1030,83,257,25,12,5,11,0
223,F,S,0,74530,N,63,20892,106,10446,1044,26,1,8,1044
225,F,M,2,76289,N,48,22202,82,11101,1110,20,4,10,0
227,F,D,1,9309,Y,24,40004,99,20002,2000,24,1,10,2000
229,F,S,0,32962,N,19,27002,154,13501,1350,38,5,9,0
231,F,S,2,33330,N,21,33003,35,16501,1650,8,1,9,1650
237,F,M,2,98217,N,45,29492,13,14746,1474,3,1,10,1474
239,F,M,2,41876,Y,44,6780,132,1695,169,19,1,16,0
244,M,M,0,96681,Y,20,7000,40,1750,175,6,4,18,0
247,M,S,0,84479,N,30,7000,43,1750,175,6,2,12,0
248,F,M,2,64977,N,38,28112,17,14056,1405,4,5,6,1405
249,F,M,0,77994,N,51,12401,89,6200,620,22,3,8,0
250,M,M,2,90103,N,35,12231,45,6115,611,11,5,10,0
252,M,M,2,5265,N,53,2330,23,582,58,3,1,17,0
253,M,S,1,84978,N,22,5030,76,1257,125,11,5,15,0
257,F,S,0,433,N,61,3300,40,825,82,6,3,17,0
260,F,M,0,2031,N,20,21642,87,10821,1082,21,4,8,1082
261,F,S,2,16938,N,55,13351,8,6675,667,2,1,7,0
262,F,M,0,55221,N,42,490,15,122,12,2,4,18,0
267,M,S,2,72084,N,56,29112,9,14556,1455,2,4,8,1455
275,M,S,0,90478,N,55,18021,136,9010,901,34,2,10,0
277,F,S,1,37000,N,24,23562,206,11781,1178,51,5,7,0
278,M,M,2,29616,N,49,29782,45,14891,1489,11,1,10,1489
281,F,M,2,52004,N,25,5030,23,1257,125,3,1,11,0
283,M,M,0,75004,N,65,26522,32,13261,1326,8,3,8,1326
287,F,M,2,47902,N,26,17441,49,8720,872,12,4,7,872
299,F,M,1,57063,Y,52,16791,81,8395,839,20,5,5,0
301,F,S,1,7737,N,43,11051,50,5525,552,12,2,10,552
306,F,S,2,9559,N,51,18311,59,9155,915,14,1,5,915
307,F,M,2,42031,N,51,20452,39,10226,1022,9,1,6,1022
313,F,S,2,66182,Y,62,11701,47,5850,585,11,3,7,0
326,M,S,2,43634,N,22,29442,104,14721,1472,26,1,5,1472
328,M,S,1,92647,N,56,16041,10,8020,802,2,3,9,0
338,F,S,2,2842,N,46,0,0,0,0,0,0,0,0
340,M,M,0,47870,Y,27,2000,12,500,50,1,4,17,0
342,F,S,0,7325,N,37,28522,161,14261,1426,40,3,9,1426
343,M,M,2,28766,N,47,6110,58,1527,152,8,1,19,0
347,M,M,2,1406,Y,19,11551,15,5775,577,3,3,6,577
352,M,M,1,63437,N,64,680,10,170,17,1,1,18,0
355,F,M,2,55860,Y,15,16011,10,8005,800,2,3,7,0
357,M,M,2,57360,Y,53,10361,57,5180,518,14,3,10,0
360,F,M,2,17888,N,43,29412,332,14706,1470,83,3,5,1470
361,F,S,1,12526,N,54,11721,28,5860,586,7,1,7,0
364,M,M,1,3933,N,18,9750,47,2437,243,7,5,15,0
370,F,S,0,30763,Y,14,21322,35,10661,1066,8,5,5,0
374,F,M,2,7776,N,36,25872,68,12936,1293,17,2,10,0
375,M,M,1,2067,N,48,15251,70,7625,762,17,3,8,762
381,F,M,2,21419,N,60,26392,103,13196,1319,25,4,7,0
382,F,M,2,30665,Y,23,5830,63,1457,145,9,1,14,0
387,F,M,1,98680,Y,46,17581,8,8790,879,2,5,10,879
389,F,M,1,95620,Y,47,10911,93,5455,545,23,3,6,545
391,F,M,1,66921,Y,46,15701,8,7850,785,2,5,9,0
393,F,M,2,94026,Y,28,25002,10,12501,1250,2,5,9,1250
395,M,M,0,66666,N,45,3930,26,982,98,3,5,19,0
397,F,M,2,63234,Y,52,0,0,0,0,0,0,0,0
400,F,S,1,70000,N,56,22822,63,11411,1141,15,1,9,1141
401,M,M,1,47371,Y,55,4980,258,1245,124,38,3,14,0
402,F,M,2,52957,Y,40,25792,125,12896,1289,31,4,7,0
405,F,M,2,85394,Y,20,19281,14,9640,964,3,2,5,964
406,F,S,0,2121,N,40,2020,36,505,50,5,3,10,0
407,F,M,2,63566,Y,56,7940,65,1985,198,9,3,19,0
408,F,S,0,89813,N,13,14941,149,7470,747,37,4,10,747
412,F,M,2,809,Y,32,0,0,0,0,0,0,0,0
414,F,M,2,34577,N,63,29182,116,14591,1459,29,1,8,1459
416,F,S,2,19008,Y,52,10541,137,5270,527,34,3,6,0
427,F,S,2,15688,N,53,14391,8,7195,719,2,3,7,719
428,F,S,0,43382,N,16,29672,99,14836,1483,24,3,5,0
431,F,S,0,35000,N,22,22962,75,11481,1148,18,3,8,1148
433,F,M,2,59691,N,38,21942,256,10971,1097,64,5,9,0
436,M,S,0,94928,N,40,14421,73,7210,721,18,1,9,721
437,F,M,2,50622,N,40,20452,90,10226,1022,22,5,7,1022
438,M,M,0,100020,Y,52,16201,18,8100,810,4,1,5,0
439,M,M,0,65000,Y,52,29552,62,14776,1477,15,4,8,1477
444,F,M,0,78000,Y,56,170,10,42,4,1,4,20,0
450,F,S,0,92564,Y,49,23172,51,11586,1158,12,5,9,0
455,F,S,0,919,N,38,27282,93,13641,1364,23,3,10,0
457,F,M,2,24482,N,34,0,0,0,0,0,0,0,0
462,F,M,2,47010,N,57,2540,164,635,63,24,4,13,0
464,M,M,1,69406,Y,38,6900,128,1725,172,19,3,16,0
465,F,M,2,83259,N,51,0,0,0,0,0,0,0,0
467,F,M,2,2185,N,53,7120,20,1780,178,3,2,14,0
469,F,M,1,34555,N,23,25772,8,12886,1288,2,2,9,0
470,F,M,2,11234,Y,49,690,112,172,17,16,1,13,0
475,M,S,0,80000,N,41,29732,35,14866,1486,8,5,6,1486
478,F,M,1,82931,N,65,19241,118,9620,962,29,5,8,0
482,F,M,2,36725,N,56,8650,77,2162,216,11,4,12,0
483,M,S,1,94188,N,58,20862,19,10431,1043,4,2,7,0
488,F,M,2,30998,N,41,2400,50,600,60,7,4,17,0
490,M,S,1,78554,N,17,5590,23,1397,139,3,2,20,0
495,F,M,2,49745,N,48,2840,24,710,71,3,2,14,0
501,F,M,2,76289,N,48,22202,82,11101,1110,20,3,8,0
503,F,D,0,40120,Y,21,40004,99,20002,2000,24,4,5,0
505,F,S,0,40120,N,24,27002,154,13501,1350,38,2,7,1350
511,F,M,2,90271,N,45,13961,96,6980,698,24,4,7,698
513,F,M,2,98217,N,45,29492,13,14746,1474,3,1,8,1474
527,F,M,0,59008,Y,30,12861,18,6430,643,4,4,10,643
533,F,S,0,433,N,61,3300,40,825,82,6,1,16,0
544,M,S,2,72084,N,56,29112,9,14556,1455,2,5,5,1455
548,M,M,1,71472,N,42,16021,114,8010,801,28,5,8,0
551,M,S,0,90321,N,55,870,11,217,21,1,5,13,0
554,M,M,1,28313,N,21,6890,6,1722,172,0,1,12,0
556,M,M,2,29616,N,49,29782,45,14891,1489,11,4,8,0
559,F,M,2,52004,N,25,5030,23,1257,125,3,2,20,0
563,M,S,1,57626,Y,44,9380,38,2345,234,5,5,18,0
565,F,M,2,47902,N,26,17441,49,8720,872,12,2,6,872
572,F,M,2,5237,N,49,13321,56,6660,666,14,2,8,666
573,M,S,2,89459,N,53,11541,22,5770,577,5,1,10,0
578,F,M,2,84166,N,54,3280,11,820,82,1,1,16,0
579,F,S,0,45612,N,14,12531,311,6265,626,77,2,9,626
580,F,S,1,7737,N,43,11051,50,5525,552,12,5,5,0
581,M,S,2,120000,N,42,21372,293,10686,1068,73,5,5,0
582,F,M,2,45287,Y,29,0,0,0,0,0,0,0,0
583,F,M,2,59613,N,34,12371,163,6185,618,40,1,7,618
585,F,S,2,9559,N,51,18311,59,9155,915,14,4,8,915
586,F,M,2,42031,N,51,20452,39,10226,1022,9,3,7,0
587,F,M,2,83284,Y,28,26912,9,13456,1345,2,1,9,0
588,M,M,1,39229,N,26,28822,13,14411,1441,3,1,7,0
595,F,M,0,32703,Y,65,16801,56,8400,840,14,4,6,0
596,F,M,2,8204,N,53,15591,24,7795,779,6,2,7,779
598,F,M,0,80405,N,60,2910,17,727,72,2,2,16,0
602,F,S,0,25285,N,54,9370,11,2342,234,1,2,19,0
603,F,M,2,77551,Y,34,20532,41,10266,1026,10,5,9,0
607,F,S,1,13109,N,63,22382,40,11191,1119,10,1,7,0
608,M,S,1,92647,N,56,16041,10,8020,802,2,2,6,0
611,F,S,2,28787,N,42,27972,58,13986,1398,14,2,6,1398
614,F,M,1,20550,Y,22,27722,57,13861,1386,14,5,5,1386
616,F,S,2,19131,N,56,22152,34,11076,1107,8,2,8,1107
620,M,M,0,47870,Y,27,2000,12,500,50,1,2,15,0
622,F,S,0,7325,N,37,28522,161,14261,1426,40,3,5,1426
627,M,M,2,1406,Y,19,11551,15,5775,577,3,4,9,0
628,F,S,0,73228,N,46,22472,28,11236,1123,7,4,5,0
630,M,M,1,64792,N,52,13051,36,6525,652,9,2,8,652
633,M,M,2,49910,Y,52,27422,23,13711,1371,5,5,8,1371
634,M,M,1,76161,Y,45,11961,25,5980,598,6,2,9,0
637,M,M,2,57360,Y,53,10361,57,5180,518,14,1,6,0
639,M,M,0,60102,N,42,9840,62,2460,246,9,4,15,0
640,F,M,2,17888,N,53,29412,332,14706,1470,83,1,8,0
641,F,S,1,12526,N,54,11721,28,5860,586,7,4,7,586
642,F,S,2,14578,Y,61,11911,95,5955,595,23,3,5,0
643,M,M,0,78572,Y,42,21812,29,10906,1090,7,4,7,0
644,M,M,1,3933,N,18,9750,47,2437,243,7,5,10,0
647,F,M,2,87578,Y,53,290,22,72,7,3,1,15,0
648,F,M,2,86695,N,14,25942,32,12971,1297,8,5,8,1297
649,F,S,2,76791,N,43,20712,23,10356,1035,5,2,9,0
655,F,M,2,7776,N,36,25872,68,12936,1293,17,2,6,1293
656,M,M,1,2067,N,48,15251,70,7625,762,17,3,9,762
658,F,M,2,69343,N,42,6360,15,1590,159,2,5,15,0
664,F,M,1,68000,Y,44,6080,30,1520,152,4,5,13,0
674,F,M,2,94026,Y,28,25002,10,12501,1250,2,1,5,0
678,F,M,2,63234,Y,52,0,0,0,0,0,0,0,0
680,M,M,0,3911,N,59,5720,25,1430,143,3,2,19,0
689,F,S,2,86747,N,65,20152,37,10076,1007,9,4,9,0
695,F,M,2,63566,Y,56,7940,65,1985,198,9,1,19,0
696,F,M,0,52089,N,48,10811,13,5405,540,3,2,8,0
698,F,S,0,89813,N,13,14941,149,7470,747,37,1,9,0
703,F,M,2,60485,N,42,11701,28,5850,585,7,5,6,0
704,F,M,1,56722,N,61,17371,51,8685,868,12,2,6,868
707,M,S,1,76529,N,58,18461,20,9230,923,5,5,8,0
710,F,M,0,77000,N,55,27562,45,13781,1378,11,2,8,1378
713,M,M,0,73400,Y,53,0,0,0,0,0,0,0,0
714,F,M,0,53432,Y,57,12561,83,6280,628,20,4,9,0
716,M,S,1,16432,Y,21,20412,80,10206,1020,20,3,10,0
718,M,S,1,71329,Y,42,14271,45,7135,713,11,2,5,713
721,F,S,1,33084,Y,50,19771,105,9885,988,26,3,8,0
722,F,S,0,20913,N,53,22992,65,11496,1149,16,5,8,1149
725,F,S,1,540,Y,39,12341,7,6170,617,1,1,5,617
728,F,S,2,72583,Y,22,5970,27,1492,149,4,5,19,0
741,F,S,2,11251,Y,43,28422,113,14211,1421,28,3,7,0
742,M,M,0,70908,N,50,7700,43,1925,192,6,2,11,0
743,M,S,0,94928,N,40,14421,73,7210,721,18,5,8,0
745,M,M,0,78000,Y,50,16201,18,8100,810,4,1,10,810
748,F,M,1,56722,N,61,17371,51,8685,868,12,4,8,0
749,M,M,1,80000,N,39,0,0,0,0,0,0,0,0
750,F,S,2,3416,Y,23,18971,104,9485,948,26,3,5,0
752,M,M,0,80000,Y,53,15271,25,7635,763,6,3,8,0
755,M,M,0,5745,Y,15,26402,17,13201,1320,4,1,8,1320
758,M,S,0,70000,Y,48,4910,82,1227,122,12,3,20,0
761,F,M,2,81913,Y,50,6700,46,1675,167,6,4,16,0
762,F,S,0,919,N,38,27282,93,13641,1364,23,1,10,0
765,F,M,0,14573,N,65,26612,236,13306,1330,59,3,8,1330
767,F,S,2,8392,Y,37,25032,54,12516,1251,13,5,8,1251
771,M,M,1,69406,Y,47,6900,128,1725,172,19,5,13,0
780,F,M,2,63670,Y,46,27392,51,13696,1369,12,3,8,1369
785,F,M,2,57483,N,44,17011,27,8505,850,6,5,5,0
786,F,S,2,21274,N,46,10871,32,5435,543,8,2,5,543
791,F,S,1,12374,Y,33,17491,106,8745,874,26,3,10,874
793,F,M,2,84948,Y,29,11141,12,5570,557,3,5,9,557
795,M,M,2,21416,N,36,9900,8,2475,247,1,4,13,0
797,M,S,1,3960,N,15,29782,66,14891,1489,16,5,9,1489
802,F,M,2,88427,N,14,22462,43,11231,1123,10,5,8,0
803,F,M,2,98003,Y,26,1030,83,257,25,12,1,18,0
804,M,S,0,89142,N,54,3760,5,940,94,0,1,20,0
813,F,S,2,43000,N,20,39003,35,19501,1950,8,1,10,0
818,F,M,2,64816,Y,31,21002,6,10501,1050,1,3,8,0
821,F,M,2,41876,Y,44,6780,132,1695,169,19,5,10,0
822,M,M,0,96223,Y,65,11811,5,5905,590,1,2,9,0
823,F,S,0,15989,N,62,3670,25,917,91,3,1,19,0
826,M,M,0,96681,Y,20,2000,40,500,50,6,1,11,0
830,F,M,2,64977,N,38,28112,17,14056,1405,4,4,5,0
833,F,M,0,59008,Y,30,12861,18,6430,643,4,5,10,643
846,M,M,0,95448,Y,54,24242,5,12121,1212,1,1,5,1212
847,M,S,1,24141,Y,17,28822,97,14411,1441,24,3,6,1441
848,M,S,2,63152,Y,63,29932,40,14966,1496,10,3,9,0
849,M,S,2,72084,N,56,29112,9,14556,1455,2,5,5,0
852,F,M,0,27371,Y,41,16141,126,8070,807,31,2,9,0
855,F,S,0,95786,Y,46,21332,87,10666,1066,21,5,6,1066
862,M,M,0,19732,N,51,24812,22,12406,1240,5,1,9,1240
868,M,M,0,19749,N,60,20222,13,10111,1011,3,3,6,0
871,F,M,2,47902,N,26,17441,49,8720,872,12,2,9,872
874,F,S,1,17540,Y,63,22172,13,11086,1108,3,3,7,0
875,F,M,0,83891,Y,61,28922,45,14461,1446,11,2,9,0
892,F,M,2,83284,Y,28,26912,9,13456,1345,2,5,9,0
893,M,M,1,39229,N,26,28822,13,14411,1441,3,4,5,1441
894,F,S,0,68427,N,42,23762,50,11881,1188,12,5,10,0
896,F,S,0,98716,N,56,20972,13,10486,1048,3,4,6,1048
898,F,M,2,84789,N,50,14221,10,7110,711,2,4,7,711
900,F,M,0,32703,Y,65,16801,56,8400,840,14,5,8,0
901,F,M,2,8204,N,53,15591,24,7795,779,6,5,9,0
902,M,M,1,97180,N,33,8210,45,2052,205,6,4,18,0
903,F,S,2,38280,N,34,11641,74,5820,582,18,5,8,0
906,F,S,0,25285,N,54,9370,11,2342,234,1,5,11,0
909,M,M,0,92881,N,21,2150,85,537,53,12,5,20,0
911,F,S,1,13109,N,63,22382,40,11191,1119,10,2,10,1119
912,M,S,1,92647,N,56,16041,10,8020,802,2,5,5,802
913,M,S,2,21021,Y,63,2000,11,500,50,1,1,11,0
915,F,S,2,28787,N,42,27972,58,13986,1398,14,2,9,0
922,F,S,2,2842,N,46,0,0,0,0,0,0,0,0
924,M,M,0,47870,Y,27,7000,12,1750,175,1,5,16,0
925,F,S,2,6440,Y,70,22662,27,11331,1133,6,5,10,1133
928,M,M,2,28766,N,47,6110,58,1527,152,8,5,13,0
929,M,M,1,5252,N,16,2650,17,662,66,2,4,15,0
930,M,M,2,91272,Y,25,26992,13,13496,1349,3,2,5,0
938,M,M,2,49910,Y,52,27422,23,13711,1371,5,3,6,1371
942,M,M,2,57360,Y,53,10361,57,5180,518,14,1,7,0
947,F,S,2,14578,Y,61,11911,95,5955,595,23,2,10,0
949,F,M,2,48238,N,35,23282,168,11641,1164,42,1,9,1164
950,F,M,0,28770,N,12,27992,16,13996,1399,4,4,6,1399
960,M,M,1,2067,N,48,15251,70,7625,762,17,5,5,762
961,M,S,0,68000,N,63,4580,8,1145,114,1,2,10,0
962,M,M,0,69343,N,42,6360,15,1590,159,2,4,15,0
967,F,M,1,78000,Y,59,6080,30,1520,152,4,3,11,0
968,F,M,2,50561,N,46,16601,113,8300,830,28,1,5,0
972,M,M,0,65619,Y,52,13561,144,6780,678,36,2,10,0
977,F,M,2,94026,Y,28,25002,10,12501,1250,2,2,9,1250
980,M,M,2,47639,N,43,17481,39,8740,874,9,4,6,0
983,F,M,2,18296,Y,43,80,10,20,2,1,4,18,0
989,F,S,0,2121,N,40,2020,36,505,50,5,5,12,0
990,F,M,2,63566,Y,56,7940,65,1985,198,9,2,12,0
999,F,M,0,98056,N,56,23702,126,11851,1185,31,5,5,1185
1003,M,M,1,62797,N,54,8320,55,2080,208,8,5,15,0
1008,M,M,1,75799,N,46,22242,64,11121,1112,16,3,10,0
1020,M,M,0,100020,Y,46,16201,18,8100,810,4,1,9,0
1027,M,M,1,80000,Y,53,15271,25,7635,763,6,4,6,0
1029,F,D,1,93454,Y,49,18941,25,9470,947,6,3,6,947
1032,F,M,2,48322,Y,49,6690,43,1672,167,6,1,14,0
1033,F,M,2,81913,Y,50,6700,46,1675,167,6,2,11,0
1036,F,M,2,24482,N,34,0,0,0,0,0,0,0,0
1048,F,M,2,11234,Y,49,690,112,172,17,16,1,15,0
1051,F,M,2,72841,N,47,10361,72,5180,518,18,2,10,518
1052,M,M,1,63670,Y,46,27392,51,13696,1369,12,3,9,1369
1056,F,S,2,21274,N,46,10871,32,5435,543,8,1,5,543
1063,F,M,2,84948,Y,29,11141,12,5570,557,3,3,10,557
1067,M,S,1,3960,N,15,29782,66,14891,1489,16,4,9,1489
1068,M,M,0,60101,Y,64,27702,124,13851,1385,31,2,5,1385
1069,F,M,2,38215,N,31,0,0,0,0,0,0,0,0
1075,F,S,0,74530,N,63,20892,106,10446,1044,26,2,7,1044
1078,M,M,1,66931,N,64,11721,5,5860,586,1,2,10,586
1080,F,M,1,14085,N,24,29002,26,14501,1450,6,4,7,1450
1081,F,S,0,32962,N,24,45004,154,22502,2250,38,3,9,2250
1088,F,M,2,64816,Y,31,21002,6,10501,1050,1,3,8,1050
1093,F,S,0,15989,N,62,3670,25,917,91,3,5,16,0
1097,M,S,0,62705,Y,38,9000,6,2250,225,0,5,15,0
1102,M,M,2,90103,N,35,12231,45,6115,611,11,5,8,611
1106,F,M,2,36647,N,50,21412,85,10706,1070,21,3,9,1070
1113,F,S,2,16938,N,46,13351,8,6675,667,2,2,6,667
1115,F,M,1,8073,N,55,28702,60,14351,1435,15,3,5,0
1122,F,S,1,49072,N,42,23502,10,11751,1175,2,1,9,1175
1126,F,S,0,95786,Y,52,21332,87,10666,1066,21,3,5,0
1127,M,S,0,90321,N,55,870,11,217,21,1,5,12,0
1129,F,M,2,56187,N,46,8090,13,2022,202,1,4,12,0
1135,M,S,1,57626,Y,44,9380,38,2345,234,5,5,11,0
1143,F,S,1,13109,N,63,22382,40,11191,1119,10,5,8,0
1145,M,S,2,21021,Y,63,3000,11,750,75,1,4,15,0
1146,M,S,0,74460,Y,55,25532,179,12766,1276,44,3,7,0
1152,F,S,2,19131,N,56,22152,34,11076,1107,8,5,7,0
1154,F,S,2,6440,Y,48,22662,27,11331,1133,6,2,8,0
1155,M,M,2,28766,N,47,6110,58,1527,152,8,4,14,0
1158,F,S,0,73228,N,53,22472,28,11236,1123,7,1,6,0
1159,M,M,1,64792,N,52,13051,36,6525,652,9,5,10,0
1161,M,M,2,49910,Y,52,27422,23,13711,1371,5,1,7,0
1163,F,M,2,55860,Y,15,16011,10,8005,800,2,3,10,800
1169,F,M,0,83287,N,41,29642,90,14821,1482,22,5,7,0
1171,M,M,2,30665,Y,23,5830,63,1457,145,9,1,11,0
1173,F,M,1,98680,Y,42,17581,8,8790,879,2,4,6,879
1174,M,M,0,65619,Y,46,13561,144,6780,678,36,1,5,0
1176,F,S,0,85275,N,47,22482,151,11241,1124,37,2,5,1124
1177,F,M,1,66921,Y,62,15701,8,7850,785,2,2,8,785
1178,F,M,1,98453,Y,41,13721,11,6860,686,2,4,9,686
1179,F,S,2,57420,Y,46,25182,252,12591,1259,63,4,7,0
1180,M,M,0,66000,N,46,3930,26,982,98,3,1,19,0
1185,F,S,1,540,Y,39,12341,7,6170,617,1,1,8,0
1189,F,S,2,93559,N,58,1520,29,380,38,4,4,18,0
1193,M,S,2,60095,Y,23,1710,116,427,42,17,1,18,0
1194,F,M,1,6946,N,20,33003,8,16501,1650,2,3,8,0
1199,F,S,2,21274,N,46,10871,32,5435,543,8,1,7,543
1200,F,M,2,28267,N,30,21872,192,10936,1093,48,2,8,0
1201,F,M,2,36725,N,56,8650,77,2162,216,11,2,19,0
1205,F,M,2,69133,Y,27,8580,37,2145,214,5,5,15,0
1207,F,M,2,30998,N,41,2400,50,600,60,7,2,19,0
1211,F,M,2,38215,N,31,0,0,0,0,0,0,0,0
1212,F,M,1,13829,N,21,35003,160,17501,1750,40,4,7,0
1213,F,M,2,49745,N,48,2840,24,710,71,3,3,20,0
1216,M,S,0,89142,N,54,3760,5,940,94,0,3,13,0
1221,M,M,2,9309,Y,25,8560,99,2140,214,14,2,15,0
1225,F,S,2,42000,N,22,45004,35,22502,2250,8,4,7,0
1226,F,S,0,77726,N,57,14001,9,7000,700,2,3,7,0
1228,F,S,1,2800,N,46,28452,106,14226,1422,26,3,7,1422
1233,M,M,1,92148,Y,28,4000,100,1000,100,15,5,12,0
1235,M,S,0,62705,Y,33,7000,6,1750,175,0,2,20,0
1238,M,S,1,84978,N,22,5030,76,1257,125,11,5,15,0
1243,F,M,2,16962,N,45,18601,8,9300,930,2,1,10,930
1251,M,S,2,63152,Y,63,29932,40,14966,1496,10,1,6,0
1252,M,S,2,72084,N,56,29112,9,14556,1455,2,5,6,1455
1253,F,S,0,42760,N,42,13471,40,6735,673,10,5,5,0
1255,F,M,0,27371,Y,46,16141,126,8070,807,31,2,6,807
1264,M,M,1,75004,N,65,26522,32,13261,1326,8,1,5,0
1265,M,M,0,19749,N,60,20222,13,10111,1011,3,2,5,1011
1276,F,S,2,21021,Y,63,3750,11,937,93,1,1,16,0
1280,F,M,2,62061,Y,46,29862,52,14931,1493,13,5,5,0
1285,F,S,1,13109,N,63,22382,40,11191,1119,10,5,9,0
1299,M,M,2,91272,Y,25,26992,13,13496,1349,3,3,10,1349
1301,M,M,1,64792,N,52,13051,36,6525,652,9,3,5,0
1303,M,M,2,49910,Y,52,27422,23,13711,1371,5,4,6,0
1312,M,M,1,2067,N,48,15251,70,7625,762,17,4,5,762
1313,M,M,2,30665,Y,23,5830,63,1457,145,9,2,12,0
1318,F,S,0,85275,N,62,22482,151,11241,1124,37,3,7,1124
